Sales Person,Country,Product,Date,Amount,Boxes Shipped,Price per box,Month,Year,Month-Year,Sales Category,Sales Perfomrance,Region
Jehu Rudeforth,UK,Mint Chip Choco,1/4/2022,5320,180,29.55555556,Jan,2022,Jan-2022,Meduim,Standard,Europe
Van Tuxwell,India,85% Dark Bars,8/1/2022,7896,94,84,Aug,2022,Aug-2022,Meduim,Standard,Asia
Gigi Bohling,India,Peanut Butter Cubes,7/7/2022,4501,91,49.46153846,Jul,2022,Jul-2022,Low,Standard,Asia
Jan Morforth,Australia,Peanut Butter Cubes,4/27/2022,12726,342,37.21052632,Apr,2022,Apr-2022,High,High Performer,Oceania
Jehu Rudeforth,UK,Peanut Butter Cubes,2/24/2022,13685,184,74.375,Feb,2022,Feb-2022,High,High Performer,Europe
Van Tuxwell,India,Smooth Sliky Salty,6/6/2022,5376,38,141.4736842,Jun,2022,Jun-2022,Meduim,Standard,Asia
Oby Sorrel,UK,99% Dark & Pure,1/25/2022,13685,176,77.75568182,Jan,2022,Jan-2022,High,High Performer,Europe
Gunar Cockshoot,Australia,After Nines,3/24/2022,3080,73,42.19178082,Mar,2022,Mar-2022,Low,Standard,Oceania
Jehu Rudeforth,New Zealand,50% Dark Bites,4/20/2022,3990,59,67.62711864,Apr,2022,Apr-2022,Low,Standard,Others
Brien Boise,Australia,99% Dark & Pure,7/4/2022,2835,102,27.79411765,Jul,2022,Jul-2022,Low,Standard,Oceania
Rafaelita Blaksland,UK,Smooth Sliky Salty,1/13/2022,4704,62,75.87096774,Jan,2022,Jan-2022,Low,Standard,Europe
Barr Faughny,USA,Orange Choco,3/10/2022,3703,11,336.6363636,Mar,2022,Mar-2022,Low,Standard,Others
Mallorie Waber,Canada,Eclairs,1/13/2022,1442,286,5.041958042,Jan,2022,Jan-2022,Low,Standard,Others
Karlen McCaffrey,New Zealand,Drinking Coco,7/28/2022,168,156,1.076923077,Jul,2022,Jul-2022,Low,Standard,Others
Marney O'Breen,New Zealand,Peanut Butter Cubes,8/3/2022,8379,173,48.43352601,Aug,2022,Aug-2022,Meduim,Standard,Others
Beverie Moffet,Australia,Organic Choco Syrup,1/26/2022,6790,356,19.07303371,Jan,2022,Jan-2022,Meduim,Standard,Oceania
Van Tuxwell,Canada,Organic Choco Syrup,2/14/2022,4067,42,96.83333333,Feb,2022,Feb-2022,Low,Standard,Others
Roddy Speechley,USA,Smooth Sliky Salty,4/5/2022,3017,140,21.55,Apr,2022,Apr-2022,Low,Standard,Others
Beverie Moffet,Canada,Milk Bars,2/16/2022,8799,250,35.196,Feb,2022,Feb-2022,Meduim,Standard,Others
Curtice Advani,UK,85% Dark Bars,6/8/2022,1085,172,6.308139535,Jun,2022,Jun-2022,Low,Standard,Europe
Brien Boise,Australia,Eclairs,6/27/2022,6888,88,78.27272727,Jun,2022,Jun-2022,Meduim,Standard,Oceania
Gunar Cockshoot,USA,Spicy Special Slims,2/17/2022,1267,157,8.070063694,Feb,2022,Feb-2022,Low,Standard,Others
Marney O'Breen,USA,After Nines,5/30/2022,4753,163,29.1595092,May,2022,May-2022,Low,Standard,Others
Husein Augar,UK,Drinking Coco,3/14/2022,3003,113,26.57522124,Mar,2022,Mar-2022,Low,Standard,Europe
Kaine Padly,Australia,Eclairs,2/28/2022,7672,115,66.71304348,Feb,2022,Feb-2022,Meduim,Standard,Oceania
Karlen McCaffrey,India,Fruit & Nut Bars,1/26/2022,168,321,0.523364486,Jan,2022,Jan-2022,Low,Standard,Asia
Roddy Speechley,Canada,Spicy Special Slims,2/9/2022,1652,186,8.88172043,Feb,2022,Feb-2022,Low,Standard,Others
Husein Augar,USA,Eclairs,7/7/2022,4025,112,35.9375,Jul,2022,Jul-2022,Low,Standard,Others
Dennison Crosswaite,New Zealand,White Choc,7/5/2022,9492,151,62.86092715,Jul,2022,Jul-2022,Meduim,Standard,Others
Dennison Crosswaite,New Zealand,Manuka Honey Choco,6/15/2022,5061,301,16.81395349,Jun,2022,Jun-2022,Meduim,Standard,Others
Van Tuxwell,New Zealand,85% Dark Bars,5/24/2022,1722,121,14.23140496,May,2022,May-2022,Low,Standard,Others
Rafaelita Blaksland,UK,99% Dark & Pure,6/29/2022,12446,150,82.97333333,Jun,2022,Jun-2022,High,High Performer,Europe
Wilone O'Kielt,Australia,Manuka Honey Choco,5/11/2022,4284,94,45.57446809,May,2022,May-2022,Low,Standard,Oceania
Karlen McCaffrey,UK,Almond Choco,6/30/2022,6839,133,51.42105263,Jun,2022,Jun-2022,Meduim,Standard,Europe
Andria Kimpton,Canada,After Nines,5/11/2022,2163,70,30.9,May,2022,May-2022,Low,Standard,Others
Roddy Speechley,USA,Manuka Honey Choco,7/22/2022,9583,315,30.42222222,Jul,2022,Jul-2022,Meduim,Standard,Others
Andria Kimpton,UK,50% Dark Bites,8/24/2022,2653,314,8.449044586,Aug,2022,Aug-2022,Low,Standard,Europe
Kelci Walkden,New Zealand,After Nines,7/7/2022,147,72,2.041666667,Jul,2022,Jul-2022,Low,Standard,Others
Camilla Castle,Australia,85% Dark Bars,5/19/2022,3654,14,261,May,2022,May-2022,Low,Standard,Oceania
Karlen McCaffrey,India,Manuka Honey Choco,7/4/2022,2443,581,4.204819277,Jul,2022,Jul-2022,Low,Standard,Asia
Kelci Walkden,USA,After Nines,6/2/2022,938,16,58.625,Jun,2022,Jun-2022,Low,Standard,Others
Karlen McCaffrey,USA,Raspberry Choco,4/15/2022,14749,354,41.66384181,Apr,2022,Apr-2022,High,High Performer,Others
Mallorie Waber,Canada,Choco Coated Almonds,7/11/2022,4781,241,19.83817427,Jul,2022,Jul-2022,Low,Standard,Others
Andria Kimpton,India,Spicy Special Slims,2/23/2022,6307,142,44.41549296,Feb,2022,Feb-2022,Meduim,Standard,Asia
Madelene Upcott,Canada,Almond Choco,8/22/2022,7602,102,74.52941176,Aug,2022,Aug-2022,Meduim,Standard,Others
Kaine Padly,USA,Peanut Butter Cubes,2/16/2022,6790,188,36.11702128,Feb,2022,Feb-2022,Meduim,Standard,Others
Van Tuxwell,USA,50% Dark Bites,1/13/2022,9737,160,60.85625,Jan,2022,Jan-2022,Meduim,Standard,Others
Curtice Advani,Australia,Milk Bars,2/14/2022,6979,18,387.7222222,Feb,2022,Feb-2022,Meduim,Standard,Oceania
Roddy Speechley,India,Eclairs,6/10/2022,4382,303,14.4620462,Jun,2022,Jun-2022,Low,Standard,Asia
Curtice Advani,India,Fruit & Nut Bars,7/7/2022,5243,176,29.78977273,Jul,2022,Jul-2022,Meduim,Standard,Asia
Curtice Advani,Canada,Almond Choco,3/24/2022,4865,70,69.5,Mar,2022,Mar-2022,Low,Standard,Others
Brien Boise,Australia,Fruit & Nut Bars,6/6/2022,8575,23,372.826087,Jun,2022,Jun-2022,Meduim,Standard,Oceania
Dotty Strutley,Australia,Drinking Coco,7/19/2022,91,135,0.674074074,Jul,2022,Jul-2022,Low,Standard,Oceania
Beverie Moffet,USA,Raspberry Choco,4/19/2022,14798,83,178.2891566,Apr,2022,Apr-2022,High,High Performer,Others
Marney O'Breen,India,85% Dark Bars,7/19/2022,2205,179,12.31843575,Jul,2022,Jul-2022,Low,Standard,Asia
Jehu Rudeforth,Canada,Drinking Coco,7/15/2022,441,24,18.375,Jul,2022,Jul-2022,Low,Standard,Others
Ches Bonnell,New Zealand,Spicy Special Slims,2/14/2022,3556,18,197.5555556,Feb,2022,Feb-2022,Low,Standard,Others
Brien Boise,Canada,99% Dark & Pure,5/18/2022,16793,416,40.36778846,May,2022,May-2022,High,High Performer,Others
Barr Faughny,Australia,Fruit & Nut Bars,6/30/2022,15421,55,280.3818182,Jun,2022,Jun-2022,High,High Performer,Oceania
Andria Kimpton,Australia,50% Dark Bites,6/2/2022,4438,227,19.55066079,Jun,2022,Jun-2022,Low,Standard,Oceania
Andria Kimpton,Australia,Drinking Coco,6/28/2022,1603,48,33.39583333,Jun,2022,Jun-2022,Low,Standard,Oceania
Marney O'Breen,Australia,Organic Choco Syrup,5/16/2022,273,174,1.568965517,May,2022,May-2022,Low,Standard,Oceania
Kelci Walkden,Canada,Baker's Choco Chips,5/26/2022,3073,302,10.17549669,May,2022,May-2022,Low,Standard,Others
Karlen McCaffrey,India,Almond Choco,7/6/2022,6090,149,40.87248322,Jul,2022,Jul-2022,Meduim,Standard,Asia
Oby Sorrel,India,99% Dark & Pure,5/27/2022,10255,11,932.2727273,May,2022,May-2022,High,High Performer,Asia
Wilone O'Kielt,Australia,Caramel Stuffed Bars,4/14/2022,2030,11,184.5454545,Apr,2022,Apr-2022,Low,Standard,Oceania
Van Tuxwell,Australia,Organic Choco Syrup,8/10/2022,19453,14,1389.5,Aug,2022,Aug-2022,High,High Performer,Oceania
Camilla Castle,India,50% Dark Bites,7/4/2022,9275,411,22.56690998,Jul,2022,Jul-2022,Meduim,Standard,Asia
Oby Sorrel,India,Organic Choco Syrup,7/8/2022,6181,56,110.375,Jul,2022,Jul-2022,Meduim,Standard,Asia
Jan Morforth,USA,Peanut Butter Cubes,7/22/2022,9037,102,88.59803922,Jul,2022,Jul-2022,Meduim,Standard,Others
Gigi Bohling,USA,Choco Coated Almonds,3/2/2022,12313,103,119.5436893,Mar,2022,Mar-2022,High,High Performer,Others
Gigi Bohling,UK,Almond Choco,1/10/2022,5642,9,626.8888889,Jan,2022,Jan-2022,Meduim,Standard,Europe
Jehu Rudeforth,New Zealand,White Choc,3/11/2022,2800,241,11.61825726,Mar,2022,Mar-2022,Low,Standard,Others
Andria Kimpton,New Zealand,Peanut Butter Cubes,6/20/2022,959,265,3.618867925,Jun,2022,Jun-2022,Low,Standard,Others
Van Tuxwell,UK,Organic Choco Syrup,8/26/2022,2002,214,9.355140187,Aug,2022,Aug-2022,Low,Standard,Europe
Roddy Speechley,Canada,Milk Bars,7/13/2022,609,32,19.03125,Jul,2022,Jul-2022,Low,Standard,Others
Camilla Castle,USA,Spicy Special Slims,2/11/2022,1274,244,5.221311475,Feb,2022,Feb-2022,Low,Standard,Others
Marney O'Breen,USA,Orange Choco,1/27/2022,7595,181,41.96132597,Jan,2022,Jan-2022,Meduim,Standard,Others
Van Tuxwell,UK,99% Dark & Pure,1/31/2022,4725,137,34.48905109,Jan,2022,Jan-2022,Low,Standard,Europe
Camilla Castle,USA,White Choc,8/18/2022,9681,24,403.375,Aug,2022,Aug-2022,Meduim,Standard,Others
Andria Kimpton,USA,Raspberry Choco,6/30/2022,14504,21,690.6666667,Jun,2022,Jun-2022,High,High Performer,Others
Dotty Strutley,Australia,Fruit & Nut Bars,8/23/2022,280,311,0.900321543,Aug,2022,Aug-2022,Low,Standard,Oceania
Brien Boise,New Zealand,Mint Chip Choco,8/1/2022,63,181,0.348066298,Aug,2022,Aug-2022,Low,Standard,Others
Roddy Speechley,New Zealand,After Nines,5/25/2022,8001,10,800.1,May,2022,May-2022,Meduim,Standard,Others
Roddy Speechley,Canada,Organic Choco Syrup,1/10/2022,4032,82,49.17073171,Jan,2022,Jan-2022,Low,Standard,Others
Dennison Crosswaite,Australia,70% Dark Bites,2/7/2022,5859,108,54.25,Feb,2022,Feb-2022,Meduim,Standard,Oceania
Karlen McCaffrey,USA,Orange Choco,5/12/2022,11095,401,27.66832918,May,2022,May-2022,High,High Performer,Others
Madelene Upcott,Australia,Spicy Special Slims,3/7/2022,7182,408,17.60294118,Mar,2022,Mar-2022,Meduim,Standard,Oceania
Dennison Crosswaite,Australia,85% Dark Bars,4/5/2022,6881,420,16.38333333,Apr,2022,Apr-2022,Meduim,Standard,Oceania
Andria Kimpton,Canada,Caramel Stuffed Bars,1/3/2022,7154,348,20.55747126,Jan,2022,Jan-2022,Meduim,Standard,Others
Dennison Crosswaite,UK,Eclairs,3/24/2022,6188,270,22.91851852,Mar,2022,Mar-2022,Meduim,Standard,Europe
Madelene Upcott,India,Raspberry Choco,7/7/2022,4221,9,469,Jul,2022,Jul-2022,Low,Standard,Asia
Van Tuxwell,USA,After Nines,7/26/2022,630,264,2.386363636,Jul,2022,Jul-2022,Low,Standard,Others
Wilone O'Kielt,Australia,Organic Choco Syrup,7/7/2022,1743,111,15.7027027,Jul,2022,Jul-2022,Low,Standard,Oceania
Karlen McCaffrey,Canada,50% Dark Bites,7/15/2022,2919,65,44.90769231,Jul,2022,Jul-2022,Low,Standard,Others
Roddy Speechley,New Zealand,Orange Choco,4/1/2022,49,97,0.505154639,Apr,2022,Apr-2022,Low,Standard,Others
Beverie Moffet,Australia,Eclairs,6/20/2022,1827,6,304.5,Jun,2022,Jun-2022,Low,Standard,Oceania
Kelci Walkden,UK,Fruit & Nut Bars,6/29/2022,13006,482,26.98340249,Jun,2022,Jun-2022,High,High Performer,Europe
Marney O'Breen,USA,50% Dark Bites,6/15/2022,1064,106,10.03773585,Jun,2022,Jun-2022,Low,Standard,Others
Husein Augar,USA,After Nines,4/8/2022,11571,180,64.28333333,Apr,2022,Apr-2022,High,High Performer,Others
Dennison Crosswaite,Australia,Raspberry Choco,3/14/2022,5740,31,185.1612903,Mar,2022,Mar-2022,Meduim,Standard,Oceania
Andria Kimpton,USA,Fruit & Nut Bars,7/15/2022,1456,359,4.055710306,Jul,2022,Jul-2022,Low,Standard,Others
Kelci Walkden,India,Eclairs,4/19/2022,5334,80,66.675,Apr,2022,Apr-2022,Meduim,Standard,Asia
Marney O'Breen,USA,99% Dark & Pure,3/28/2022,4151,296,14.02364865,Mar,2022,Mar-2022,Low,Standard,Others
Brien Boise,Canada,Spicy Special Slims,3/4/2022,8106,101,80.25742574,Mar,2022,Mar-2022,Meduim,Standard,Others
Karlen McCaffrey,New Zealand,70% Dark Bites,8/2/2022,126,40,3.15,Aug,2022,Aug-2022,Low,Standard,Others
